n,a,b,c,p,lambda,delta,chi_delta,ap_L_lambda,N,factorization_N,q,h,k,b_mov
-3,1,3,4,1009,884,985,1,-46,1056,2^5;3^1;11^1,11,96,10,100
-3,1,3,4,10007,1252,9983,-1,-104,9904,2^4;619^1,619,16,618,8213
-3,1,3,4,100003,62503,99979,-1,524,100528,2^4;61^1;103^1,103,976,17,283
-3,1,3,4,1000003,625003,999979,-1,-580,999424,2^14;61^1,61,16384,60,1196
-3,1,3,4,10000019,6250013,9999995,1,12,10000008,2^3;3^2;138889^1,138889,72,34722,807409
-3,1,3,4,100000007,12500002,99999983,-1,4840,100004848,2^4;6250303^1,6250303,16,347239,9228024
-3,1,3,4,1000000007,125000002,999999983,-1,-50248,999949760,2^6;5^1;3124843^1,3124843,320,1041614,31141502
-3,1,3,4,10000000019,6250000013,9999999995,1,-62180,10000062200,2^3;5^2;50000311^1,50000311,200,25000155,830487173
-3,1,3,4,100000000003,62500000003,99999999979,-1,553212,100000553216,2^8;71^1;73^1;75367^1,75367,1326848,25122,917989
-3,1,3,4,1000000000039,125000000006,1000000000015,1,-1471408,1000001471448,2^3;3^1;7^1;19^1;181^1;1730849^1,1730849,577752,432712,17249258
-3,1,3,28,1009,560,841,1,18,992,2^5;31^1,31,32,30,300
-3,1,3,28,10007,7328,9839,1,-152,10160,2^4;5^1;127^1,127,80,126,1675
-3,1,3,28,100003,80361,99835,1,36,99968,2^7;11^1;71^1,71,1408,70,1163
-3,1,3,28,1000003,232145,999835,1,1556,998448,2^4;3^1;11^1;31^1;61^1,61,16368,60,1196
-3,1,3,28,10000019,8035731,9999851,-1,756,10000776,2^3;3^1;71^1;5869^1,5869,1704,2934,68226
-3,1,3,28,100000007,58928577,99999839,1,2824,99997184,2^9;7^1;27901^1,27901,3584,27900,741455
-3,1,3,28,1000000007,446428576,999999839,-1,58632,1000058640,2^4;3^1;5^1;7^2;277^1;307^1,307,3257520,51,1525
-3,1,3,28,10000000019,892857146,9999999851,-1,-135180,9999864840,2^3;3^1;5^1;7^1;11904601^1,11904601,840,11904600,395462253
-3,1,3,28,100000000003,80357142861,99999999835,1,-467420,100000467424,2^5;11^2;13^1;19^1;104561^1,104561,956384,104560,3820749
-3,1,3,28,1000000000039,160714285722,999999999871,1,-1396488,1000001396528,2^4;62500087283^1,62500087283,16,31250043641,1245724775252
-3,1,4,7,1009,866,946,1,2,1008,2^4;3^2;7^1,7,144,1,10
-3,1,4,7,10007,7149,9944,1,128,9880,2^3;5^1;13^1;19^1,19,520,18,240
-3,1,4,7,100003,85718,99940,1,148,99856,2^4;79^2,79,1264,78,1296
-3,1,4,7,1000003,714289,999940,1,-676,1000680,2^3;3^1;5^1;31^1;269^1,269,3720,268,5342
-3,1,4,7,10000019,8571446,9999956,1,2772,9997248,2^6;3^1;52069^1,52069,192,52068,1210764
-3,1,4,7,100000007,42857147,99999944,1,12488,99987520,2^6;5^1;41^1;7621^1,7621,13120,7620,202505
-3,1,4,7,1000000007,142857145,999999944,-1,35024,1000035032,2^3;23^1;67^1;81119^1,81119,12328,81118,2425214
-3,1,4,7,10000000019,4285714295,9999999956,1,-116196,10000116216,2^3;3^2;138890503^1,138890503,72,138890502,4613842608
-3,1,4,7,100000000003,85714285718,99999999940,1,-469068,100000469072,2^4;7^1;43^1;61^1;340397^1,340397,293776,24314,888463
-3,1,4,7,1000000000039,571428571452,999999999976,-1,748360,1000000748400,2^4;3^1;5^2;833333957^1,833333957,1200,833333956,33219305771
-3,1,7,12,1009,940,793,1,18,992,2^5;31^1,31,32,30,300
-3,1,7,12,10007,696,9791,-1,-96,9912,2^3;3^1;7^1;59^1,59,168,29,386
-3,1,7,12,100003,1390,99787,-1,-92,99912,2^3;3^1;23^1;181^1,181,552,180,2990
-3,1,7,12,1000003,13890,999787,-1,-944,999060,2^2;3^1;5^1;16651^1,16651,60,2775,55311
-3,1,7,12,10000019,9027796,9999803,1,204,9999816,2^3;3^1;416659^1,416659,24,208329,4844379
-3,1,7,12,100000007,6944446,99999791,-1,-736,99999272,2^3;12499909^1,12499909,8,3124977,83047592
-3,1,7,12,1000000007,69444446,999999791,-1,-7680,999992328,2^3;3^1;307^1;135721^1,135721,7368,135720,4057669
-3,1,7,12,10000000019,9027777796,9999999803,1,53068,9999946952,2^3;1249993369^1,1249993369,8,69444076,2306882272
-3,1,7,12,100000000003,1388888890,99999999787,-1,-338404,99999661600,2^5;5^2;83^1;761^1;1979^1,1979,50530400,989,36140
-3,1,7,12,1000000000039,513888888910,999999999823,1,523048,999999476992,2^8;40949^1;95393^1,95393,10482944,5962,237665
-3,1,7,52,1009,787,73,-1,-6,1004,2^2;251^1,251,4,25,250
-3,1,7,52,10007,2984,9071,-1,-192,9816,2^3;3^1;409^1,409,24,102,1356
-3,1,7,52,100003,33656,99067,-1,160,100164,2^2;3^1;17^1;491^1,491,204,490,8139
-3,1,7,52,1000003,182694,999067,1,-28,1000032,2^5;3^1;11^1;947^1,947,1056,473,9428
-3,1,7,52,10000019,9519250,9999083,1,4164,9995856,2^4;3^1;13^1;83^1;193^1,193,51792,96,2233
-3,1,7,52,100000007,45192312,99999071,-1,7024,100007032,2^3;19^1;83^1;7927^1,7927,12616,7926,210637
-3,1,7,52,1000000007,913461546,999999071,1,38448,999961560,2^3;3^2;5^1;13^1;43^1;4969^1,4969,201240,4968,148531
-3,1,7,52,10000000019,5673076935,9999999083,1,-185660,10000185680,2^4;5^1;2857^1;43753^1,43753,228560,10938,363353
-3,1,7,52,100000000003,33653846156,99999999067,-1,259772,100000259776,2^6;151^1;10347709^1,10347709,9664,2586927,94529441
-3,1,7,52,1000000000039,605769230794,999999999103,-1,285208,1000000285248,2^6;3^1;26683^1;195193^1,195193,5123136,195192,7780966
-3,1,12,19,1009,30,382,1,50,960,2^6;3^1;5^1,5,192,2,20
-3,1,12,19,10007,815,9380,-1,80,10088,2^3;13^1;97^1,97,104,12,160
-3,1,12,19,100003,958,99376,-1,280,100284,2^2;3^1;61^1;137^1,137,732,68,1130
-3,1,12,19,1000003,952157,999376,-1,1960,1001964,2^2;3^1;83497^1,83497,12,392,7814
-3,1,12,19,10000019,2583738,9999392,-1,4516,10004536,2^3;29^2;1487^1,1487,6728,1486,34555
-3,1,12,19,100000007,50239239,99999380,1,-9292,100009300,2^2;5^2;17^1;89^1;661^1,661,151300,220,5847
-3,1,12,19,1000000007,827751203,999999380,1,23952,999976056,2^3;3^1;337^1;123637^1,123637,8088,123636,3696390
-3,1,12,19,10000000019,8851674659,9999999392,-1,-74468,9999925552,2^4;97^1;883^1;7297^1,7297,1370416,2432,80790
-3,1,12,19,100000000003,6220095695,99999999376,-1,-255808,99999744196,2^2;11^1;2272721459^1,2272721459,44,1136360729,41523994948
-3,1,12,19,1000000000039,416267942601,999999999412,1,-862180,1000000862220,2^2;3^1;5^1;16666681037^1,16666681037,60,4166670259,166096547947
-3,1,19,28,1009,992,506,1,10,1000,2^3;5^3,5,200,2,20
-3,1,19,28,10007,5898,8495,1,-40,10048,2^6;157^1,157,64,52,692
-3,1,19,28,100003,23216,98491,1,524,99480,2^3;3^1;5^1;829^1,829,120,828,13753
-3,1,19,28,1000003,89287,998491,1,864,999140,2^2;5^1;49957^1,49957,20,12489,248926
-3,1,19,28,10000019,2321434,9998507,-1,-2932,9997088,2^5;17^2;23^1;47^1,47,212704,23,535
-3,1,19,28,100000007,30357146,99998495,1,-2392,100002400,2^5;5^2;125003^1,125003,800,62501,1660991
-3,1,19,28,1000000007,17857144,999998495,-1,31356,1000031364,2^2;3^2;2111^1;13159^1,13159,75996,6579,196695
-3,1,19,28,10000000019,8035714302,9999998507,-1,126912,10000126932,2^2;3^1;157^1;5307923^1,5307923,1884,5307922,176325353
-3,1,19,28,100000000003,23214285716,99999998491,1,273316,99999726688,2^5;17^1;53^1;3468359^1,3468359,28832,1734179,63368998
-3,1,19,28,1000000000039,446428571447,999999998527,1,579612,999999420428,2^2;67^1;5099^1;731779^1,731779,1366532,731778,29170967
-3,1,28,39,1009,758,877,-1,-46,964,2^2;241^1,241,4,120,1198
-3,1,28,39,10007,7119,6848,-1,-84,9924,2^2;3^1;827^1,827,12,413,5489
