n,a,b,c,p,lambda,delta,chi_delta,ap_L_lambda,N,factorization_N,q,h,k,b_mov
-3,1,7,52,1009,787,73,-1,-6,1004,2^2;251^1,251,4,25,250
-3,1,28,39,1009,758,877,-1,-46,964,2^2;241^1,241,4,120,1198
-3,1,52,67,100003,17034,89752,1,232,99772,2^2;24943^1,24943,4,4157,69047
-3,2,6,14,100003,71432,99835,1,-48,100052,2^2;25013^1,25013,4,12506,207721
-3,7,12,37,1000003,513517,999448,-1,-1192,998812,2^2;249703^1,249703,4,249702,4976954
-3,7,37,76,10007,1410,3167,1,-116,10124,2^2;2531^1,2531,4,2530,33621
-3,7,52,97,1009,646,22,-1,-46,964,2^2;241^1,241,4,120,1198
-3,12,19,61,10000000019,3278688533,9999998738,-1,-103768,9999896252,2^2;2499974063^1,2499974063,4,2499974062,83047340738
-3,12,37,91,1009,934,238,-1,42,1052,2^2;263^1,263,4,262,2615
-3,14,38,98,10007,7864,2951,-1,148,10156,2^2;2539^1,2539,4,2538,33727
3,3,26,47,10007,9610,3243,-1,76,10084,2^2;2521^1,2521,4,2520,33488
3,3,47,74,1009,323,687,-1,-6,1004,2^2;251^1,251,4,25,250
5,1,31,44,1009,890,546,-1,-6,1004,2^2;251^1,251,4,25,250
5,1,76,95,1009,636,310,-1,-46,964,2^2;241^1,241,4,120,1198
5,2,22,38,1009,787,773,-1,-6,1004,2^2;251^1,251,4,25,250
5,2,38,58,100000007,36398471,10440,1,-6748,100006756,2^2;25001689^1,25001689,4,4166948,110738414
5,4,19,41,1009,851,48,1,46,964,2^2;241^1,241,4,120,1198
5,4,29,55,1000000000039,482909090929,6875,1,406852,999999593188,2^2;249999898297^1,249999898297,4,249999898296,9965780230436
8,1,8,17,1000003,672272,952,-1,-1096,998908,2^2;249727^1,249727,4,41621,829572
8,1,17,28,1009,733,557,1,6,1004,2^2;251^1,251,4,25,250
8,1,41,56,1000003,283484,17920,-1,-1192,998812,2^2;249703^1,249703,4,249702,4976954
8,1,73,92,1009,371,524,-1,-6,1004,2^2;251^1,251,4,25,250
8,7,8,31,1009,885,248,-1,-6,1004,2^2;251^1,251,4,25,250
8,7,23,56,1009,624,105,1,-42,1052,2^2;263^1,263,4,262,2615
8,8,17,49,10000019,9750587,3528,-1,-208,9999812,2^2;2499953^1,2499953,4,24752,575571
8,14,34,92,10007,1546,4713,1,-116,10124,2^2;2531^1,2531,4,2530,33621
8,17,28,89,100003,59963,7832,1,136,99868,2^2;24967^1,24967,4,1387,23038
12,1,13,24,10007,2885,3456,1,-116,10124,2^2;2531^1,2531,4,2530,33621
12,1,24,37,1009,697,122,-1,42,1052,2^2;263^1,263,4,262,2615
12,1,52,69,100003,22707,42228,-1,144,100148,2^2;25037^1,25037,4,12518,207921
12,1,69,88,100000007,18365644,71808,-1,-8852,99991156,2^2;24997789^1,24997789,4,6249447,166081710
12,3,23,44,1009,681,470,-1,-6,1004,2^2;251^1,251,4,25,250
12,4,61,97,100003,48022,66348,-1,608,100612,2^2;25153^1,25153,4,25152,417767
12,6,52,94,10007,9610,1853,-1,76,10084,2^2;2521^1,2521,4,2520,33488
12,8,11,39,10000019,6581212,1404,1,3424,9996596,2^2;2499149^1,2499149,4,2499148,58113937
12,13,24,73,10000019,1469494,9636,1,1112,9998908,2^2;2499727^1,2499727,4,416621,9687897
20,1,16,29,10007,4855,8700,-1,-100,9908,2^2;2477^1,2477,4,2476,32903
20,1,29,44,10007,6296,4626,1,-116,10124,2^2;2531^1,2531,4,2530,33621
20,2,62,88,1009,890,664,-1,-6,1004,2^2;251^1,251,4,25,250
20,4,11,31,1000000000039,635944700487,4340,1,216364,999999783676,2^2;249999945919^1,249999945919,4,249999945918,9965782128798
20,4,44,76,1009,787,260,-1,-6,1004,2^2;251^1,251,4,25,250
20,4,59,95,10000019,2868906,104500,1,2944,9997076,2^2;2499269^1,2499269,4,1249634,29058364
20,5,41,76,100003,3912,54720,1,-464,100468,2^2;25117^1,25117,4,25116,417169
20,8,38,82,1009,851,768,1,46,964,2^2;241^1,241,4,120,1198
20,19,20,79,100003,83562,1580,-1,224,100228,2^2;25057^1,25057,4,12528,208087
