=== Exhaustive h = 4 scan up to H = 100 ===
Columns: n, triple, p, #E(F_p), h, q, bits, k

 -3  (1,7,52)      1009      1004    4       251   8  25
 -3  (1,28,39)      1009       964    4       241   8  120
 -3  (1,52,67)    100003     99772    4     24943  15  4157
 -3  (2,6,14)    100003    100052    4     25013  15  12506
 -3  (7,12,37)   1000003    998812    4    249703  18  249702
 -3  (7,37,76)     10007     10124    4      2531  12  2530
 -3  (7,52,97)      1009       964    4       241   8  120
 -3  (12,19,61)  10000000019  9999896252    4  2499974063  32  2499974062
 -3  (12,37,91)      1009      1052    4       263   9  262
 -3  (14,38,98)     10007     10156    4      2539  12  2538
  3  (3,26,47)     10007     10084    4      2521  12  2520
  3  (3,47,74)      1009      1004    4       251   8  25
  5  (1,31,44)      1009      1004    4       251   8  25
  5  (1,76,95)      1009       964    4       241   8  120
  5  (2,22,38)      1009      1004    4       251   8  25
  5  (2,38,58)  100000007  100006756    4  25001689  25  4166948
  5  (4,19,41)      1009       964    4       241   8  120
  5  (4,29,55)  1000000000039  999999593188    4  249999898297  38  249999898296
  8  (1,8,17)   1000003    998908    4    249727  18  41621
  8  (1,17,28)      1009      1004    4       251   8  25
  8  (1,41,56)   1000003    998812    4    249703  18  249702
  8  (1,73,92)      1009      1004    4       251   8  25
  8  (7,8,31)      1009      1004    4       251   8  25
  8  (7,23,56)      1009      1052    4       263   9  262
  8  (8,17,49)  10000019   9999812    4   2499953  22  24752
  8  (14,34,92)     10007     10124    4      2531  12  2530
  8  (17,28,89)    100003     99868    4     24967  15  1387
 12  (1,13,24)     10007     10124    4      2531  12  2530
 12  (1,24,37)      1009      1052    4       263   9  262
 12  (1,52,69)    100003    100148    4     25037  15  12518
 12  (1,69,88)  100000007  99991156    4  24997789  25  6249447
 12  (3,23,44)      1009      1004    4       251   8  25
 12  (4,61,97)    100003    100612    4     25153  15  25152
 12  (6,52,94)     10007     10084    4      2521  12  2520
 12  (8,11,39)  10000019   9996596    4   2499149  22  2499148
 12  (13,24,73)  10000019   9998908    4   2499727  22  416621
 20  (1,16,29)     10007      9908    4      2477  12  2476
 20  (1,29,44)     10007     10124    4      2531  12  2530
 20  (2,62,88)      1009      1004    4       251   8  25
 20  (4,11,31)  1000000000039  999999783676    4  249999945919  38  249999945918
 20  (4,44,76)      1009      1004    4       251   8  25
 20  (4,59,95)  10000019   9997076    4   2499269  22  1249634
 20  (5,41,76)    100003    100468    4     25117  15  25116
 20  (8,38,82)      1009       964    4       241   8  120
 20  (19,20,79)    100003    100228    4     25057  15  12528

Total rows scanned = 1640
Total h = 4 hits   = 45
